Running seek with root {-11,21,24,28,} and ceiling 1000000000
Time: Sun Apr 19 19:18:17 2015

In seek
Running fuchsian
100000000th iteration: 2646970869 2993398149 1841464416 64501656
200000000th iteration: 2900721285 2827087749 1313380344 276842052
300000000th iteration: 370384221 39871533 167059032 384557664
400000000th iteration: 2484424485 1646300637 22420344 2078226864
500000000th iteration: 2138245789 202168309 998035012 2167778260
600000000th iteration: 112102645 623781901 206376436 626389348
700000000th iteration: 1670140941 922804437 72539472 1518003660
800000000th iteration: 81937741 1586140045 1512525976 858916768
900000000th iteration: 19645 267419893 352511116 377303116
1000000000th iteration: 278744197 129432565 25899724 277889584
1100000000th iteration: 2405354629 37259029 2077095592 1528759120
1200000000th iteration: 1425255997 1762733749 40048 1258606456
1300000000th iteration: 2168304997 1753194925 2615871124 19710724
1400000000th iteration: 777811477 698656069 52876 973751728
1500000000th iteration: 111797965 1822062541 999290596 1902303928
1600000000th iteration: 904120437 10773165 656605212 998425596
1700000000th iteration: 685324605 13341 526051128 503655396
1800000000th iteration: 1214934445 889411693 176968 935946004
1900000000th iteration: 15358237 11092381 15164968 2164
2000000000th iteration: 1854322629 101954589 1005756732 1825650780
2100000000th iteration: 1559661 398645229 487318044 337969056
2200000000th iteration: 28498357 278714917 517470448 503523148
2300000000th iteration: 72119389 1172643613 603562072 1104590176
2400000000th iteration: 391384693 109757797 86615908 391829572
2500000000th iteration: 887932341 674852805 2532636 973244748
2600000000th iteration: 1388115837 101485053 738352188 1484310252
2700000000th iteration: 2130596325 1132257213 155878608 2276397144
2800000000th iteration: 644957661 914165853 833225700 516
2900000000th iteration: 132888501 2504565 82766736 114129228
3000000000th iteration: 1899829333 1984034989 104926828 1070454640
3100000000th iteration: 707691981 37852269 1211767644 1075053216
3200000000th iteration: 495105373 2742212029 895715500 2722836988
3300000000th iteration: 2495257189 2423399389 1021532392 298111060
3400000000th iteration: 2612131309 1827644917 62102548 2962481476
3500000000th iteration: 145892181 461457093 459410412 87424764
3600000000th iteration: 2546546317 2398249549 1227276784 194305480
3700000000th iteration: 2023445005 1813034533 2536681876 1462216
3800000000th iteration: 1658943781 2577602149 2172894484 34616596
3900000000th iteration: 7737085 490812973 312289288 435538864
4000000000th iteration: 456133 59706613 70805704 87229360
4100000000th iteration: 314381773 673353157 644753908 57686692
4200000000th iteration: 2581113645 72453 1973434644 1902498948
4300000000th iteration: 2719861741 1264979605 2786737396 264854728
4400000000th iteration: 1615836901 190538293 673274116 1595914660
4500000000th iteration: 3682525021 901007557 3682407664 940401208
4600000000th iteration: 595953333 646020045 948 822872484
4700000000th iteration: 548344101 36099885 512347476 275767368
4800000000th iteration: 1462103493 79949037 795934164 1445193156
4900000000th iteration: 1356251685 4851093 1598840544 1947016668
5000000000th iteration: 128597917 171640765 190912 182249596
5100000000th iteration: 1326866341 2002799869 18162556 1674114844
5200000000th iteration: 547803717 1794323445 359262504 1800922704
5300000000th iteration: 76320901 1077921517 1009722448 530839084
5400000000th iteration: 646263669 623345205 343117812 36972744
5500000000th iteration: 3183357325 3237007621 478177048 1193977936
5600000000th iteration: 22361437 728556853 1171290028 1008068752
5700000000th iteration: 40573141 57642757 49594492 1900
5800000000th iteration: 1611433885 1802708749 2279668684 5362012
5900000000th iteration: 422582709 524154117 611257848 1560576
6000000000th iteration: 154871917 1088210509 2201497264 2069801740
6100000000th iteration: 399560637 945405621 105136344 915640848
6200000000th iteration: 940753789 5085973 807437248 1168827580
6300000000th iteration: 228412173 396310725 1228389588 1232254404
6400000000th iteration: 1033802149 9216541 866772796 685383904
6500000000th iteration: 2901023493 2782284573 1282397952 286854312
6600000000th iteration: 2368093069 1390849669 129037576 2590979296
6700000000th iteration: 3016228093 2679894373 57841924 1882022200
6800000000th iteration: 718690501 751597 766548820 990562372
6900000000th iteration: 1120162749 1499045373 1572659772 267756
7000000000th iteration: 669106173 652832613 60897312 308808072
7100000000th iteration: 1508999581 1032646477 6182680 1282519072
7200000000th iteration: 1582507765 923032837 49700176 1401307432
7300000000th iteration: 1017975061 31328293 900074980 595559236
7400000000th iteration: -11 1557243901 2011420144 2207311756
7500000000th iteration: 9795085 138007837 73614112 146500156
7600000000th iteration: 271610541 178461 231168468 190512360
7700000000th iteration: 169670197 2923110997 1515589756 2699532640
7800000000th iteration: 764258365 176918509 1742524252 1680152704
7900000000th iteration: 1802725077 1314991965 35082192 2085437976
8000000000th iteration: 1191689005 1298763493 67479376 691065196
8100000000th iteration: 1074559293 1942323717 114372648 2022353172
8200000000th iteration: 2370786157 2568261637 12847180 1757626636
8300000000th iteration: 371411061 498303381 977988 529120740
8400000000th iteration: 1854792453 685287285 282687384 1871483268
8500000000th iteration: 1496890317 93921981 768236808 1418224944
8600000000th iteration: 620834797 906223885 4534972 840252736
8700000000th iteration: 1336399125 1860051573 1468429908 1028904
8800000000th iteration: 1342115781 49605 1714898808 1243946436
8900000000th iteration: 143871573 341090373 931263924 938982120
9000000000th iteration: 12331429 83192461 159589936 170066764
9100000000th iteration: 1158542005 1099441069 546976768 94931548
9200000000th iteration: 1640954469 1904093517 1176771156 38487108
9300000000th iteration: 1524905653 1392241693 23320 1929551824
9400000000th iteration: 2002969333 1332713365 2261215216 66591916
9500000000th iteration: 44508421 646424245 1031113408 1147103356
9600000000th iteration: 2976181189 1151395693 407437528 2946010180
9700000000th iteration: 1915213 2265700981 1584390160 1972233676
9800000000th iteration: 2633831493 2929362021 1906495584 36044952
9900000000th iteration: 1300312453 1327540093 182425480 508636084
CURVELIST num_items: 249954058
Time: Sun Apr 19 20:19:38 2015

Running genealogy
Time: Sun Apr 19 20:19:38 2015

Running valuesOf
Time: Sun Apr 19 20:19:38 2015

Running path
Time: Sun Apr 19 20:20:36 2015

Running compare

