Running seek with root {0,0,1,1,} and ceiling 10000000
Time: Sat Apr 18 16:30:45 2015

In seek
Running fuchsian
1000000th iteration: 25404472 10356724 24785881 3080473
2000000th iteration: 6359164 5740816 267289 3530641
3000000th iteration: 19808424 1967904 20709921 9289161
4000000th iteration: 22229724 41196 28336449 20265441
5000000th iteration: 3719116 3773116 568393 1378105
6000000th iteration: 25991464 18133156 22544401 30889
7000000th iteration: 15338944 1815880 15662449 6540457
8000000th iteration: 20080 6878488 4811401 5516401
9000000th iteration: 11281432 26991040 3359161 27697177
10000000th iteration: 812004 4375140 4348809 1402377
11000000th iteration: 9365428 198916 5755201 8094025
12000000th iteration: 5037412 7138408 12097 6816313
13000000th iteration: 7174332 18728880 19081329 2719689
14000000th iteration: 664 10013332 14216809 12825025
15000000th iteration: 17668348 12533644 6121 16682137
16000000th iteration: 7388100 4842696 6677361 83313
17000000th iteration: 29055844 5225764 9586801 29102881
18000000th iteration: 11017936 1151452 20550265 19987657
19000000th iteration: 10213204 24586420 23826049 2840497
20000000th iteration: 5256540 458736 8878497 9666537
21000000th iteration: 5677336 3797872 46825 5180977
22000000th iteration: 30110748 4886544 10526313 29759385
23000000th iteration: 10865644 12062620 145657 7864009
24000000th iteration: 1011784 18190480 18987433 10227913
25000000th iteration: 4561884 103152 7134993 6051321
26000000th iteration: 7204 3011656 2107177 2838913
27000000th iteration: 2735496 19769616 7795089 20194689
28000000th iteration: 18344716 25755232 462217 28847545
29000000th iteration: 13636 26069236 18304729 22177009
30000000th iteration: 1715568 11741244 11958297 4480641
31000000th iteration: 5013372 51984 4173849 3294225
32000000th iteration: 8725428 16174392 15739377 885273
33000000th iteration: 18177096 72900 25900281 20640393
34000000th iteration: 21147748 23171944 62473 16058545
35000000th iteration: 11077624 248416 17246809 15443161
36000000th iteration: 2750884 3863956 3665401 49
37000000th iteration: 2433852 1586832 2739921 90105
38000000th iteration: 19327872 13927512 21225 15045801
39000000th iteration: 27310548 26753592 12635817 2485713
40000000th iteration: 24550732 24329632 2270161 11375185
41000000th iteration: 84 15490164 15626361 11316201
42000000th iteration: 10191436 7142464 34418473 34466977
43000000th iteration: 3331612 6626512 6183745 435841
44000000th iteration: 29733100 5318476 9901201 29968393
45000000th iteration: 1501932 49116 2144145 2423697
46000000th iteration: 146184 83664 451401 453561
47000000th iteration: 29781772 4136236 29480809 11431633
48000000th iteration: 24422628 43284 25501881 18013857
49000000th iteration: 9738328 4556272 27725857 27837673
50000000th iteration: 25762132 28685944 376105 18576049
51000000th iteration: 20686768 22912348 263545 14995129
52000000th iteration: 16161780 22702932 23481 21953097
53000000th iteration: 1282156 14875744 24893041 27366649
54000000th iteration: 27453316 26814964 3596329 10770481
55000000th iteration: 12728380 18953548 15900169 132793
56000000th iteration: 10727748 19166580 20734689 1214793
57000000th iteration: 14721916 10436944 12111697 2593
58000000th iteration: 2278212 232008 4309233 3979377
59000000th iteration: 5899972 94852 6659833 4274713
60000000th iteration: 19332388 187144 23346433 15597745
61000000th iteration: 28067784 7488 20010345 22663473
62000000th iteration: 96 18033612 13675473 13385769
63000000th iteration: 6101928 364164 10609017 9447441
64000000th iteration: 19394508 27785964 25239225 41793
65000000th iteration: 24118924 22142368 1269865 12794233
66000000th iteration: 27154224 21939228 2961 19379937
67000000th iteration: 18290488 446740 25036609 28770073
68000000th iteration: 425848 27837172 17708449 23896081
69000000th iteration: 11594428 612496 11208025 6287281
70000000th iteration: 10248760 2773648 24415801 23755921
71000000th iteration: 163240 6546928 4637329 7560193
72000000th iteration: 26178052 11538952 25123441 2608945
73000000th iteration: 18724504 5813632 18657409 3637585
74000000th iteration: 168264 85584 498465 493857
75000000th iteration: 4864948 123160 6804049 7658953
76000000th iteration: 10922328 7922496 136161 12086145
77000000th iteration: 29945680 13966408 30485953 2859649
78000000th iteration: 22974996 8648868 22582977 3273609
79000000th iteration: 5758248 9475332 10414929 451641
80000000th iteration: 2932 23518552 16850113 18820633
81000000th iteration: 560044 27528268 24425497 17059441
82000000th iteration: 146496 18918936 15552153 12679785
83000000th iteration: 2839636 352408 2898001 1183225
84000000th iteration: 24275608 17685568 492217 28161577
85000000th iteration: 12023176 196 9718465 13814593
86000000th iteration: 6814428 4928784 98457 7606881
87000000th iteration: 4082664 28125636 10776729 28656561
88000000th iteration: 7881616 3432508 22011649 21726577
89000000th iteration: 13627072 9650392 13032241 16705
90000000th iteration: 20670592 23821768 541561 14520529
91000000th iteration: 14439832 1860208 28641433 26669857
92000000th iteration: 8507776 32200 10387897 7207537
93000000th iteration: 43612 17249872 14779993 11928193
94000000th iteration: 24739912 17408272 361 21423145
95000000th iteration: 29643868 12489136 30521617 3650329
96000000th iteration: 7072464 34980168 10573233 35018625
97000000th iteration: 1496032 27261484 14754649 26717305
98000000th iteration: 14447668 20164 17594881 20649337
99000000th iteration: 3642820 3204904 4492897 49
100000000th iteration: 23968104 12713028 1749921 25531497
101000000th iteration: 29731252 2079364 14691889 27825625
102000000th iteration: 23034964 28335796 10609 20133121
103000000th iteration: 256156 15475612 23639857 19811785
104000000th iteration: 8917584 13093500 14940417 399729
105000000th iteration: 7798948 18472 11048737 10554073
106000000th iteration: 12093048 15767796 11594385 441
107000000th iteration: 784888 11863120 18751489 20932393
108000000th iteration: 547980 1484448 3845313 3904449
109000000th iteration: 8315244 18003936 18568521 1807209
110000000th iteration: 12772408 2773456 12791617 3642169
111000000th iteration: 3677640 39204 5013393 5452953
112000000th iteration: 5212 2931664 4098025 3222769
113000000th iteration: 21689584 15272728 4225 18400153
114000000th iteration: 17402008 22973104 24528937 1
115000000th iteration: 5735776 2905336 5413369 374329
116000000th iteration: 18887428 124744 27565177 25228801
117000000th iteration: 18900736 18901528 4585681 4866625
118000000th iteration: 885888 16604748 17539905 9516969
119000000th iteration: 5526184 1128004 11813017 12074065
