nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015

In seek
Running fuchsian
100000000th iteration: 2599466344 1845564868 1414897 2109421441
200000000th iteration: 1045280656 437759752 2866089937 2850156145
300000000th iteration: 603168 2254642488 2313892617 1660411257
400000000th iteration: 79234432 217841800 220926409 34316689
500000000th iteration: 988864416 797375628 2984601 1153636425
600000000th iteration: 407106124 1146744160 2921805193 2981580313
700000000th iteration: 282274764 78594432 62916009 282315465
800000000th iteration: 1875610036 21316 1363531585 1462948633
900000000th iteration: 398492892 851915376 81492273 871424409
1000000000th iteration: 36679380 6863604 75276873 79212633
1100000000th iteration: 3049693824 3192802824 270714081 1494285081
1200000000th iteration: 350064 1783533528 1701759873 1270561545
1300000000th iteration: 51859828 1443062008 2055398017 2356365577
1400000000th iteration: 1051852684 1368588352 1627440145 20802049
1500000000th iteration: 863514540 6615072 1261948977 1171563321
1600000000th iteration: 1842895488 3765960 2396606769 2638977273
1700000000th iteration: 2390245156 2188303636 1628632945 12936793
1800000000th iteration: 2376432616 2082435460 2926048873 627721
1900000000th iteration: 1766289364 98329060 925346473 1628649793
2000000000th iteration: 1068496560 158306844 2182821777 2051533089
2100000000th iteration: 547018872 984737364 3020639049 2999944185
2200000000th iteration: 43034064 2353484472 2746194801 1742949513
2300000000th iteration: 875800108 3214109404 734109433 3215118265
2400000000th iteration: 317228224 2080996108 758627233 2065191025
2500000000th iteration: 1706889256 1341705184 1217789329 2746921
2600000000th iteration: 2085046012 2055475132 862345753 249039073
2700000000th iteration: 1262171344 1698541816 10436761 1854839089
2800000000th iteration: 9952212 9348276 716529 4881633
2900000000th iteration: 1258709236 871465816 3019345 1074433033
3000000000th iteration: 1267534480 2715147292 2759499649 257813209
3100000000th iteration: 32107240 1167628708 1341425353 812455609
3200000000th iteration: 473155168 458822956 2041 620778265
3300000000th iteration: 1202391256 978347392 823708633 6044569
3400000000th iteration: 2403837036 2201143500 1322224113 107832681
3500000000th iteration: 98114968 230961844 638626297 631086241
3600000000th iteration: 2700083748 246689736 1301396241 2806330305
3700000000th iteration: 218238712 1416813748 1401800233 512069377
3800000000th iteration: 1057039260 2282278224 212088657 2266848489
3900000000th iteration: 2435629048 2587827424 1300211545 172838473
4000000000th iteration: 37086904 1587822112 1842754585 1139422729
4100000000th iteration: 1879157344 2553855532 2281129 2634217825
4200000000th iteration: 15348580 1110789832 713109217 938233681
4300000000th iteration: 382732 1266197728 1622707873 1176923137
4400000000th iteration: 1711091784 1345603908 20412465 2043862833
4500000000th iteration: 2538007444 677977444 591997561 2537036161
4600000000th iteration: 430635540 59732856 169350993 439205481
4700000000th iteration: 1922750988 18092928 1271598609 1599954465
4800000000th iteration: 1187609668 195881524 2487737353 2348140945
4900000000th iteration: 1979247256 21748 2232030697 1570399249
5000000000th iteration: 1527027412 1774221940 1104300649 33676969
5100000000th iteration: 1626101472 1281794988 1165730001 1453089
5200000000th iteration: 510241716 77886084 514218969 188159121
5300000000th iteration: 1993600824 1983194592 184868721 925058913
5400000000th iteration: 964129252 123864340 940561921 381775897
5500000000th iteration: 169864 2132521360 1501106737 1826847409
5600000000th iteration: 2897922052 2909780104 347101105 1212954409
5700000000th iteration: 1107738048 681422472 978249681 23837049
5800000000th iteration: 1617878752 2523282796 37106665 2259834697
5900000000th iteration: 352003204 166156840 333898513 28840633
6000000000th iteration: 14424 2040679860 1760982297 1436321889
6100000000th iteration: 8347696 1967964892 1350919345 1801345657
6200000000th iteration: 32665972 567458104 590959969 315803185
6300000000th iteration: 2825525100 461658624 2847061857 999069249
6400000000th iteration: 606490372 537242116 8640193 389271169
6500000000th iteration: 1398045648 1482553884 115194273 710617305
6600000000th iteration: 1567122772 655396 1102147177 1425501745
6700000000th iteration: 4408944 1799015640 2535350913 2010734313
6800000000th iteration: 856517368 1631940496 1741087345 123805321
6900000000th iteration: 259302120 32964 368089737 313077249
7000000000th iteration: 1856246344 2104632868 1273911241 51321697
7100000000th iteration: 1373577028 1841529220 135289 1924829353
7200000000th iteration: 1312447168 165400 1834851769 1767926953
7300000000th iteration: 191680452 2160151236 998423937 2079067665
7400000000th iteration: 1959325284 1686623112 37508049 1218368385
7500000000th iteration: 1857981816 1739997588 2388893337 9
7600000000th iteration: 254345728 665861068 92043769 652402225
7700000000th iteration: 1998052 1362706504 1552673089 1923452785
7800000000th iteration: 894936708 443928564 78249105 944740713
7900000000th iteration: 943328656 103324 736147489 684944641
8000000000th iteration: 17783404 1863691648 1545812641 1231966657
8100000000th iteration: 15140596 1917569848 2349298105 1591527481
8200000000th iteration: 160385044 3093598456 1646058217 2834239633
8300000000th iteration: 1025638368 5444520 756434841 1102855041
8400000000th iteration: 1187287816 1121797072 866569 1539655993
8500000000th iteration: 74574096 1243941048 1351877721 709345905
8600000000th iteration: 2566623948 199200 1843484889 2044597953
8700000000th iteration: 1593293728 1725199096 2600929 2213954497
8800000000th iteration: 146461896 713674788 1560804585 1528885761
8900000000th iteration: 493768 1144024912 811000993 1079720257
9000000000th iteration: 22662232 606295924 994742929 864691345
9100000000th iteration: 282292072 523396 381476737 398814505
9200000000th iteration: 612629812 447347512 707306593 11555113
9300000000th iteration: 2037873604 2306318920 1380920137 60948409
9400000000th iteration: 1930194792 330660 1825220649 1371436569
9500000000th iteration: 402919284 1042968 326894673 471561585
9600000000th iteration: 1290147012 6411528 1051877961 883730649
9700000000th iteration: 959915776 3315993352 704644369 3309430153
9800000000th iteration: 889363492 3085385320 3079854649 659118409
9900000000th iteration: 13389876 1501815252 1787483025 1196230257
10000000000th iteration: 134331508 131715076 1225 177306961
10100000000th iteration: 2424262468 25886644 1766452441 2666368897
10200000000th iteration: 482527624 1948816 687412129 547330321
10300000000th iteration: 1535252128 792051724 91082665 1421086993
