Running seek with root {-3,5,8,8,} and ceiling 2147483647
Time: Sat Apr 18 20:07:58 2015

In seek
Running fuchsian
214748364th iteration: 6965109 2783590461 3274198008 3976281072
429496728th iteration: 3245369037 215097429 1779719676 3477735708
644245092th iteration: 3879105149 3905458565 641471144 1360138772
858993456th iteration: 1126157 1852051373 1769245172 1316349428
1073741820th iteration: 2364784613 3709394141 55360436 3161682440
1288490184th iteration: 5318061653 5438014013 2215765592 662237072
1503238548th iteration: 1882775837 1720194941 83310884 1037908088
1717986912th iteration: 8107358685 2311278453 1759651236 8113805496
1932735276th iteration: 3934178013 3723512733 1856887752 321372372
2147483640th iteration: 1647587213 2406476117 1955918312 12388628
2362232004th iteration: 1891842581 980445557 5596184912 5645584040
2576980368th iteration: 1471691205 1570040253 781076268 107682864
2791728732th iteration: 3920397 3743116341 2893275168 4131060744
3006477096th iteration: 45084149 4475165069 5419263692 3614667920
3221225460th iteration: 1949211365 2327391533 1565492324 15828788
3435973824th iteration: 3663308613 3681763461 695968896 1165357560
3650722188th iteration: 37855469 318432533 316043456 132626792
3865470552th iteration: 7410677021 1226340989 7462915832 2597791808
4080218916th iteration: 5244771101 5984099981 3606485288 149555600
4294967280th iteration: 4772579597 39426101 4365547664 3193950488
4509715644th iteration: 3797912813 3900065357 620912 5132114888
4724464008th iteration: 113880173 3278316365 2167786448 3704025704
4939212372th iteration: 12493965 665665797 768518184 486293184
5153960736th iteration: 4372875533 519425741 1821804524 4339390652
5368709100th iteration: 20141 4538237165 6225481148 4835447276
5583457464th iteration: 4991332821 5804178165 4023253512 12503412
5798205828th iteration: 742997637 2579829 1069773300 978067764
6012954192th iteration: 3879071757 69771477 5358963936 5936257020
6227702556th iteration: 3894486957 4087995957 5310358728 85428
6442450920th iteration: 1528670597 712723397 4346468720 4363708076
6657199284th iteration: 5843982621 4141837725 5475877476 988548
6871947648th iteration: 1809662165 797 2533315004 2427771164
7086696012th iteration: 2222587917 478030989 4780276104 4961878320
7301444376th iteration: 3519145413 51017445 3108660036 2254549176
7516192740th iteration: 347250765 390312957 1884 485247564
7730941104th iteration: 1814724005 438557 1708049132 2342892716
7945689468th iteration: 3960800693 4888771661 21488492 3369102704
8160437832th iteration: 3311518773 24203205 2738586648 2223765984
8375186196th iteration: 6000090581 3522305477 180847232 5306605820
8589934560th iteration: 313555605 2500923453 4635799608 4904567844
8804682924th iteration: 2141928077 5521322093 745138748 5428175852
9019431288th iteration: 110420861 263323685 725683412 714780932
9234179652th iteration: 7297421 4181269805 5583956072 5934223412
9448928016th iteration: 1869251741 40500269 2597043872 2902918268
9663676380th iteration: 2930638605 3309399597 99490056 1944044052
9878424744th iteration: 2980196757 2152844805 1524 2350504884
10093173108th iteration: 131190021 3027775701 2754058980 1674194628
10307921472th iteration: 1325493 506376333 533739240 373959744
10522669836th iteration: 15826325 20172077 2804 14596424
10737418200th iteration: 2550933 3647203173 2695661460 3781606344
10952166564th iteration: 2647618133 6143964941 649295624 5919333152
11166914928th iteration: 773 3856959173 3508758344 2720378420
11381663292th iteration: 701615189 4321188125 1510718588 4272817088
11596411656th iteration: 339528077 6528100637 3471064136 5982135860
11811160020th iteration: 2220604941 1025453685 204788388 2185998516
12025908384th iteration: 24415725 3915705141 4580324472 5672219952
12240656748th iteration: 1779153381 3525669 2546975808 2312996892
12455405112th iteration: 2141623637 2960078765 3342547904 48584924
12670153476th iteration: 2163150413 756962453 5587433252 5493360152
12884901840th iteration: 3745401501 2065233909 3788204592 206046648
13099650204th iteration: 3690645917 1429485485 3732871832 519801956
13314398568th iteration: 4696683957 453596229 4543938144 2107009500
13529146932th iteration: 7052230445 1457157869 7033550012 2087851244
13743895296th iteration: 136296933 2623656237 2407382592 1396088508
13958643660th iteration: 143906157 292467741 307312740 25875972
14173392024th iteration: 3181823501 6135754685 373276376 5834719268
14388140388th iteration: 5801948693 1305960797 1602593252 5806991288
14602888752th iteration: 3120863997 3075490101 290529864 1436963988
14817637116th iteration: 39773045 3175538501 2668687532 2055873212
15032385480th iteration: 2495247645 1625192421 29018652 2089461372
15247133844th iteration: 296932565 4156240973 2044388048 3906982604
15461882208th iteration: 880038597 1399540341 4511267112 4507217460
15676630572th iteration: 173511261 5386194645 3625168608 6122113416
15891378936th iteration: 5833498173 3297907173 5230688604 221863740
16106127300th iteration: 249647589 835433037 837758760 171681984
16320875664th iteration: 583267349 840324773 716862068 1727720
16535624028th iteration: 6068893469 5155778885 4150869284 25363892
16750372392th iteration: 2192027357 3683611301 192477332 4045404200
16965120756th iteration: 2594679845 3388000709 1157324 2486174492
17179869120th iteration: 696703781 379004453 34027280 651618956
17394617484th iteration: 5804560181 4083530069 960308 4969800692
17609365848th iteration: 4099114101 5386991925 14470956 5905868988
17824114212th iteration: 1980963677 3549704213 145997456 3211921004
18038862576th iteration: 6099139853 67895477 5094736232 3986211668
18253610940th iteration: 5297361957 3731284413 4515359352 365508
18468359304th iteration: 3912030485 95470301 5358190292 6152665412
18683107668th iteration: 112284269 4835526101 4208725652 2940421928
18897856032th iteration: 4163327573 1315683605 4145932544 789458168
19112604396th iteration: 2787804749 501081725 5947459352 5672984804
19327352760th iteration: 3365716181 52366901 2137679864 2888526464
19542101124th iteration: 4562416181 2501237453 4207231832 210146384
19756849488th iteration: 303309093 2192136285 856050696 2212968756
19971597852th iteration: 5482960173 842270085 5523753948 2013691104
20186346216th iteration: 5126368125 5028863637 716085072 1948568556
20401094580th iteration: 5388363557 3401936093 227366228 6011678852
20615842944th iteration: 5738433749 5278022021 4033748792 4429988
20830591308th iteration: 3561387717 3643489653 483630432 1420216728
21045339672th iteration: 4423344725 3181901717 5136292436 101668712
21260088036th iteration: 3032161445 3281247557 173133872 1743941036
21474836400th iteration: 1471090397 6716237 2112914936 1992423620
21689584764th iteration: 3840849789 3574798893 18524556 2636826012
